date,avg_temp,min_temp,max_temp
1,21.1,18.1,24.3
2,24.2,20.4,29.8
3,25.5,21.6,30.6
4,24.2,20.4,29.5
5,23.8,19.9,27.6
6,25.6,21.8,30.9
7,24.1,22.1,28.1
8,25.5,21.3,30.4
9,27.5,21.8,32.9
10,24.5,22.7,27.7
11,25.8,22.2,30.2
12,23.5,21.7,26.0
13,18.7,17.7,21.7
14,20.3,17.2,24.3
15,23.4,18.9,28.7
16,25.0,20.4,29.7
17,26.0,21.5,31.6
18,26.1,22.8,31.0
19,24.0,20.6,26.6
20,23.8,22.4,26.6
21,25.0,21.4,30.5
22,23.7,22.6,25.7
23,21.1,18.5,22.6
24,22.5,18.7,26.8
25,24.3,22.3,29.0
26,25.4,21.6,29.6
27,24.3,22.9,25.5
28,24.4,22.7,26.4
29,23.7,22.6,24.9
30,25.3,23.4,28.4
31,26.2,22.8,29.6
